latitude,longitude,NO2
-10.890125173852567,90.18763029881859,-1.2676506e+30
-10.890125173852567,90.43780403057679,-1.2676506e+30
-10.890125173852567,90.68797776233492,-1.2676506e+30
-10.890125173852567,90.93815149409312,-1.2676506e+30
-10.890125173852567,91.18832522585126,-1.2676506e+30
-10.890125173852567,91.43849895760945,-1.2676506e+30
-10.890125173852567,91.68867268936759,-1.2676506e+30
-10.890125173852567,91.93884642112579,8.110899e+14
-10.890125173852567,92.18902015288393,8.110898e+14
-10.890125173852567,92.43919388464207,8.110899e+14
-10.890125173852567,92.68936761640026,3.7191528e+14
-10.890125173852567,92.9395413481584,3.9257165e+14
-10.890125173852567,93.1897150799166,3.902436e+14
-10.890125173852567,93.43988881167473,1.5537034e+14
-10.890125173852567,93.69006254343293,7.929849e+13
-10.890125173852567,93.94023627519107,-3.3977737e+12
-10.890125173852567,94.19041000694926,-1.6650303e+13
-10.890125173852567,94.4405837387074,-6.36755e+13
-10.890125173852567,94.6907574704656,1.5144642e+14
-10.890125173852567,94.94093120222374,1.6357351e+14
-10.890125173852567,95.19110493398193,8.8005215e+14
-10.890125173852567,95.44127866574007,7.82676e+14
-10.890125173852567,95.69145239749827,2.1669497e+14
-10.890125173852567,95.9416261292564,3.7929168e+14
-10.890125173852567,96.1917998610146,1.3875626e+15
-10.890125173852567,96.44197359277274,3.00786e+15
-10.890125173852567,96.69214732453088,1.6978944e+15
-10.890125173852567,96.94232105628907,-2.4149824e+14
-10.890125173852567,97.19249478804721,8.6064655e+14
-10.890125173852567,97.44266851980541,3.0889197e+14
-10.890125173852567,97.69284225156355,1.1923616e+13
-10.890125173852567,97.94301598332174,1.5716131e+14
-10.890125173852567,98.19318971507988,2.9714604e+14
-10.890125173852567,98.44336344683808,3.162464e+14
-10.890125173852567,98.69353717859622,8.72883e+13
-10.890125173852567,98.94371091035441,-1.8500708e+14
-10.890125173852567,99.19388464211255,-4.36345e+14
-10.890125173852567,99.44405837387075,-1.4540233e+13
-10.890125173852567,99.69423210562888,1.3931645e+14
-10.890125173852567,99.94440583738708,1.8594998e+13
-10.890125173852567,100.19457956914522,6.6688964e+14
-10.890125173852567,100.44475330090336,-1.2676506e+30
-10.890125173852567,100.69492703266155,-1.2676506e+30
-10.890125173852567,100.94510076441969,-1.2676506e+30
-10.890125173852567,101.19527449617789,-1.2676506e+30
-10.890125173852567,101.44544822793603,-1.2676506e+30
-10.890125173852567,101.69562195969422,-1.2676506e+30
-10.890125173852567,101.94579569145236,-1.2676506e+30
-10.890125173852567,102.19596942321056,-1.2676506e+30
-10.890125173852567,102.4461431549687,-1.2676506e+30
-10.890125173852567,102.69631688672689,-1.2676506e+30
-10.890125173852567,102.94649061848503,-1.2676506e+30
-10.890125173852567,103.19666435024322,-1.2676506e+30
-10.890125173852567,103.44683808200136,-1.2676506e+30
-10.890125173852567,103.69701181375956,-1.2676506e+30
-10.890125173852567,103.9471855455177,-1.2676506e+30
-10.890125173852567,104.19735927727584,-1.2676506e+30
-10.890125173852567,104.44753300903403,-1.2676506e+30
-10.890125173852567,104.69770674079217,-1.2676506e+30
-10.890125173852567,104.94788047255037,-1.2676506e+30
-10.890125173852567,105.1980542043085,-1.2676506e+30
-10.890125173852567,105.4482279360667,-1.2676506e+30
-10.890125173852567,105.69840166782484,-1.2676506e+30
-10.890125173852567,105.94857539958304,-1.2676506e+30
-10.890125173852567,106.19874913134117,-1.2676506e+30
-10.890125173852567,106.44892286309937,-1.2676506e+30
-10.890125173852567,106.69909659485751,-1.2676506e+30
-10.890125173852567,106.9492703266157,-1.2676506e+30
-10.890125173852567,107.19944405837384,-1.2676506e+30
-10.890125173852567,107.44961779013204,-1.2676506e+30
-10.890125173852567,107.69979152189018,3.6039154e+14
-10.890125173852567,107.94996525364837,3.6039154e+14
-10.890125173852567,108.20013898540651,3.6039154e+14
-10.890125173852567,108.45031271716465,-1.2676506e+30
-10.890125173852567,108.70048644892285,-9.278473e+12
-10.890125173852567,108.95066018068098,-8.957674e+13
-10.890125173852567,109.20083391243918,-5.052963e+13
-10.890125173852567,109.45100764419732,3.670528e+14
-10.890125173852567,109.70118137595551,4.7872296e+14
-10.890125173852567,109.95135510771365,4.8477135e+14
-10.890125173852567,110.20152883947185,2.9850137e+14
-10.890125173852567,110.45170257122999,3.2688744e+14
-10.890125173852567,110.70187630298818,1.6720777e+14
-10.890125173852567,110.95205003474632,2.7829883e+14
-10.890125173852567,111.20222376650452,2.8070983e+14
-10.890125173852567,111.45239749826266,3.022358e+14
-10.890125173852567,111.70257123002085,2.7502076e+14
-10.890125173852567,111.95274496177899,5.7980824e+14
-10.890125173852567,112.20291869353719,5.5060702e+14
-10.890125173852567,112.45309242529532,4.9134567e+14
-10.890125173852567,112.70326615705346,4.6994472e+14
-10.890125173852567,112.95343988881166,5.2314886e+14
-10.890125173852567,113.2036136205698,4.4660828e+14
-10.890125173852567,113.45378735232799,4.2297284e+14
-10.890125173852567,113.70396108408613,4.1511426e+14
-10.890125173852567,113.95413481584433,4.0036762e+14
-10.890125173852567,114.20430854760247,3.3369416e+14
-10.890125173852567,114.45448227936066,3.558113e+13
-10.890125173852567,114.7046560111188,-1.0115792e+14
-10.890125173852567,114.954829742877,-1.6027192e+14
-10.890125173852567,115.20500347463513,2.3533543e+13
-10.890125173852567,115.45517720639333,1.4370399e+14
-10.890125173852567,115.70535093815147,3.208517e+14
-10.890125173852567,115.95552466990966,5.1866636e+14
-10.890125173852567,116.2056984016678,4.625864e+14
-10.890125173852567,116.45587213342594,3.3380496e+14
-10.890125173852567,116.70604586518414,2.8632926e+14
-10.890125173852567,116.95621959694228,2.5898847e+14
-10.890125173852567,117.20639332870047,1.8958561e+14
-10.890125173852567,117.45656706045861,7.596848e+13
-10.890125173852567,117.7067407922168,-2.2332223e+14
-10.890125173852567,117.95691452397494,-1.6046288e+14
-10.890125173852567,118.20708825573314,-4.28155e+14
-10.890125173852567,118.45726198749128,-4.2579034e+14
-10.890125173852567,118.70743571924947,-4.476562e+14
-10.890125173852567,118.95760945100761,-4.8993746e+14
-10.890125173852567,119.20778318276581,-3.312823e+14
-10.890125173852567,119.45795691452395,-1.0638984e+14
-10.890125173852567,119.70813064628214,-1.1078192e+14
-10.890125173852567,119.95830437804028,-2.2043814e+14
-10.890125173852567,120.20847810979842,-2.9563418e+14
-10.890125173852567,120.45865184155662,-2.1756355e+14
-10.890125173852567,120.70882557331475,-1.3619133e+14
-10.890125173852567,120.95899930507295,2.7642766e+13
-10.890125173852567,121.20917303683109,2.590534e+14
-10.890125173852567,121.45934676858928,3.8614192e+14
-10.890125173852567,121.70952050034742,6.671026e+13
-10.890125173852567,121.95969423210562,-1.2676506e+30
-10.890125173852567,122.20986796386376,-1.2676506e+30
-10.890125173852567,122.46004169562195,-1.2676506e+30
-10.890125173852567,122.71021542738009,-1.2676506e+30
-10.890125173852567,122.96038915913829,-1.2676506e+30
-10.890125173852567,123.21056289089643,-1.2676506e+30
-10.890125173852567,123.46073662265462,-1.2676506e+30
-10.890125173852567,123.71091035441276,-1.2676506e+30
-10.890125173852567,123.96108408617096,-1.2676506e+30
-10.890125173852567,124.2112578179291,-1.2676506e+30
-10.890125173852567,124.46143154968723,-1.2676506e+30
-10.890125173852567,124.71160528144543,-1.2676506e+30
-10.890125173852567,124.96177901320357,-1.2676506e+30
-10.890125173852567,125.21195274496176,-1.2676506e+30
-10.890125173852567,125.4621264767199,-1.2676506e+30
-10.890125173852567,125.7123002084781,-1.2676506e+30
-10.890125173852567,125.96247394023624,-1.2676506e+30
-10.890125173852567,126.21264767199443,-1.2676506e+30
-10.890125173852567,126.46282140375257,-1.2676506e+30
-10.890125173852567,126.71299513551077,-1.2676506e+30
-10.890125173852567,126.9631688672689,-1.2676506e+30
-10.890125173852567,127.2133425990271,-1.2676506e+30
-10.890125173852567,127.46351633078524,-1.2676506e+30
-10.890125173852567,127.71369006254344,-1.2676506e+30
-10.890125173852567,127.96386379430157,-1.2676506e+30
-10.890125173852567,128.21403752605977,-1.2676506e+30
-10.890125173852567,128.4642112578179,-1.2676506e+30
-10.890125173852567,128.71438498957605,-1.2676506e+30
-10.890125173852567,128.96455872133424,-1.2676506e+30
-10.890125173852567,129.21473245309238,-1.2676506e+30
-10.890125173852567,129.46490618485058,-1.2676506e+30
-10.890125173852567,129.71507991660872,-1.2676506e+30
-10.890125173852567,129.9652536483669,-1.2676506e+30
-10.890125173852567,130.21542738012505,-1.2676506e+30
-10.890125173852567,130.46560111188325,-1.2676506e+30
-10.890125173852567,130.71577484364138,-1.2676506e+30
-10.890125173852567,130.96594857539958,-1.2676506e+30
-10.890125173852567,131.21612230715772,2.4282702e+14
-10.890125173852567,131.4662960389159,1.6579674e+14
-10.890125173852567,131.71646977067405,-5.6496704e+14
-10.890125173852567,131.96664350243225,-1.6936073e+14
-10.890125173852567,132.2168172341904,8.5235765e+13
-10.890125173852567,132.46699096594853,-1.069395e+14
-10.890125173852567,132.71716469770672,2.8737173e+14
-10.890125173852567,132.96733842946486,4.318791e+13
-10.890125173852567,133.21751216122306,-1.2676506e+30
-10.890125173852567,133.4676858929812,-1.2676506e+30
-10.890125173852567,133.7178596247394,-1.2676506e+30
-10.890125173852567,133.96803335649753,-1.2676506e+30
-10.890125173852567,134.21820708825572,-1.2676506e+30
-10.890125173852567,134.46838082001386,-1.2676506e+30
-10.890125173852567,134.71855455177206,-1.2676506e+30
-10.890125173852567,134.9687282835302,-1.2676506e+30
-10.890125173852567,135.2189020152884,-1.2676506e+30
-10.890125173852567,135.46907574704653,-1.2676506e+30
-10.890125173852567,135.71924947880473,-1.2676506e+30
-10.890125173852567,135.96942321056287,-1.2676506e+30
-10.890125173852567,136.219596942321,-1.2676506e+30
-10.890125173852567,136.4697706740792,-1.2676506e+30
-10.890125173852567,136.71994440583734,-1.2676506e+30
-10.890125173852567,136.97011813759553,-1.2676506e+30
-10.890125173852567,137.22029186935367,-1.2676506e+30
-10.890125173852567,137.47046560111187,-1.2676506e+30
-10.890125173852567,137.72063933287,9.8656405e+14
-10.890125173852567,137.9708130646282,9.208952e+14
-10.890125173852567,138.22098679638634,9.3354033e+14
-10.890125173852567,138.47116052814454,9.527417e+14
-10.890125173852567,138.72133425990268,9.2948307e+14
-10.890125173852567,138.97150799166087,8.842951e+14
-10.890125173852567,139.221681723419,7.9842556e+14
-10.890125173852567,139.4718554551772,6.854284e+14
-10.890125173852567,139.72202918693534,5.6281067e+14
-10.890125173852567,139.97220291869354,4.7870018e+14
-10.890125173852567,140.22237665045168,5.0202675e+14
-10.890125173852567,140.47255038220982,7.855335e+14
-10.890125173852567,140.722724113968,8.397142e+14
-10.890125173852567,140.97289784572615,7.8284134e+14
-10.890125173852567,141.22307157748435,5.5917592e+14
-10.890125173852567,141.4732453092425,-1.9974427e+14
-10.890125173852567,141.72341904100068,-1.575872e+14
-10.890125173852567,141.97359277275882,-9.735599e+13
-10.890125173852567,142.22376650451702,4.1752994e+14
-10.890125173852567,142.47394023627515,1.55377e+14
-10.890125173852567,142.72411396803335,2.680727e+14
-10.890125173852567,142.9742876997915,8.972447e+14
-10.890125173852567,143.22446143154968,9.166798e+14
-10.890125173852567,143.47463516330782,8.075502e+14
-10.890125173852567,143.72480889506602,-1.2676506e+30
-10.890125173852567,143.97498262682416,4.103098e+13
-10.890125173852567,144.22515635858235,4.5479673e+13
-10.890125173852567,144.4753300903405,3.0512001e+13
-10.890125173852567,144.72550382209863,6.160663e+11
-10.890125173852567,144.97567755385683,-4.5874824e+14
-10.890125173852567,145.22585128561497,-5.7432093e+13
-10.890125173852567,145.47602501737316,-3.254099e+14
-10.890125173852567,145.7261987491313,-3.78404e+14
-10.890125173852567,145.9763724808895,-6.011425e+14
-10.890125173852567,146.22654621264763,2.938283e+13
-10.890125173852567,146.47671994440583,1.5242502e+14
-10.890125173852567,146.72689367616397,-2.52176e+14
-10.890125173852567,146.97706740792216,-7.948206e+13
-10.890125173852567,147.2272411396803,1.2254627e+14
-10.890125173852567,147.4774148714385,2.6373926e+14
-10.890125173852567,147.72758860319664,4.936667e+13
-10.890125173852567,147.97776233495483,-7.4209485e+12
-10.890125173852567,148.22793606671297,1.2334583e+12
-10.890125173852567,148.4781097984711,-9.598275e+13
-10.890125173852567,148.7282835302293,2.3256149e+14
-10.890125173852567,148.97845726198744,-1.18328e+14
